Australian government defends airport security after criticism by pilots,2017 aug 02
Tony Abbott: Coalition should take same-sex marriage plebiscite to next election,2017 aug 02
Murray-Darling basin: NSW government changes could be causing water loss,2017 aug 02
It is 2020 in the Republic of Australia and gay marriage is legal,2017 aug 02
'Lord of misrule': Australian thinktank delivers scathing assessment of Trump,2017 aug 02
Naplan testing: students' skills show little improvements 10 years on,2017 aug 02
'Slave labour' and sexual exploitation: calls for investigation into backpacker abuse,2017 aug 02
Tony Abbott labels Labor's call for republic vote an attack on Australia's way of life,2017 aug 01
Eric Abetz warns Liberals: crossing floor on same-sex marriage 'a grave matter',2017 aug 01
"Wash, rinse, repeat: government's marriage equality debate inching to crunch point",2017 aug 01
"Inequality is a political choice. No matter how long it takes, we will defeat it",2017 aug 01
We are the lucky country for a privileged white majority. A republic could turn this around,2017 aug 01
"Spill against Turnbull over marriage equality a 'bridge too far', conservatives say",2017 aug 01
Shifting the balance of power: An ambitious Shorten tackles inequality,2017 aug 01
"The Guardian Essential Report, 1 August results",2017 aug 01
Bill Shorten calls for finalising of referendum question on Indigenous voice in parliament,2017 aug 03
"Ten years on, voters say Labor's $52bn stimulus saved Australia from recession",2017 aug 03
Turnbull summons major power company heads to discuss lowering utility bills,2017 aug 03
Pauline Hanson blames One Nation staff for electoral law breaches,2017 aug 03
Marriage equality: Dutton urges Coalition to rein in 'emotional' views,2017 aug 03
Scott Morrison says partisan politics has driven up power prices,2017 aug 03
"Government loan to Adani could be tainted by interference, economists say",2017 aug 03
Annabel Crabb: My five favourite discoveries about Parliament House,2017 aug 03
The leaked transcript of Turnbull's call with Trump shows him at his worst,2017 aug 04
Same-sex marriage: Dean Smith evokes Menzies and  Howard in plea for conscience vote,2017 aug 04
Manus protest: refugees block police entry by lying on the ground,2017 aug 04
Australia's greenhouse gas emissions soar in latest figures,2017 aug 04
'Australians can see I stand up for them': Turnbull defends Trump phone call,2017 aug 04
"Katharine Murphy, Gabrielle Chan: the chaos of the winter break – Australian politics live podcast",2017 aug 04
Turnbull's call with Trump pulls back the curtain – and it's not a pretty sight,2017 aug 04
What we've learned from the Trump-Turnbull call transcript,2017 aug 04
Australia's homelessness crisis: number of older women forced to couchsurf doubles,2017 aug 06
"Coalition fails to dent Labor lead in Newspoll, despite support for Turnbull",2017 aug 06
Marriage equality: five Liberal MPs back Dean Smith's bill ahead of bruising debate,2017 aug 06
"Remote work-for-the-dole scheme is racist, ACTU head Sally McManus says",2017 aug 06
'There’ll be a big tragedy': Manus deadlock could reach breaking point,2017 aug 06
Nick Xenophon: bank CEOs should face jail if found guilty of money laundering,2017 aug 06
Dean Smith releases marriage equality bill as Liberals prepare for showdown,2017 aug 06
"'Prime minister, you had a dream right?': Galarrwuy Yunupingu’s grandson speaks for Indigenous youth",2017 aug 06
'Not mischief': Scullion explains Joyce's words on Indigenous voice in parliament,2017 aug 06
Senate blocks government attempt to restore compulsory plebiscite for marriage equality,2017 aug 08
Coalition will consider tax breaks for small publishers in media reform deal,2017 aug 08
Unions say Minerals Council pushing for wages cut and attacking job security,2017 aug 08
"Adani coal rail line money would be better spent supporting agriculture, analysis says",2017 aug 08
"Northern Australia infrastructure fund yet to win WA's support, inquiry reveals",2017 aug 08
Border force doctor knew of Manus asylum seeker's deteriorating health before death,2017 aug 08
Commonwealth Bank CEO to be forced to appear at bank hearings following scandal,2017 aug 08
Greens call for electricity prices to be regulated as Turnbull prepares for energy talks,2017 aug 08
Greens move to refer Malcolm Roberts' Senate eligibility to high court,2017 aug 08
Malcolm Roberts under pressure on citizenship as new documents revealed – as it happened,2017 aug 08
We need the voices of public servants in the political debate. Their free speech is in peril,2017 aug 08
Coalition risks more tortured time-wasting in bid to break marriage equality impasse,2017 aug 08
Computer says no: Irish vet fails oral English test needed to stay in Australia,2017 aug 08
Postal plebiscite on marriage equality would cost 'up to $122m',2017 aug 08
Hope is like a key card I perpetually lose and find,2017 aug 08
"The Guardian Essential report, 8 August results",2017 aug 08
"The government's marriage equality policy is frustrating, but it won't stop the tide of change",2017 aug 08
Path internships show government is on the wrong track,2017 aug 05
Housing boom coming to an end – but there's a catch for first-home buyers,2017 aug 09
Abbott's obstruction of gay marriage is a defence of privilege and the power of shame,2017 aug 09
Lobster with alleged mobster scandal to be investigated by federal authorities,2017 aug 09
Pauline Hanson refers Malcolm Roberts to high court over citizenship,2017 aug 09
Di Natale: Roberts's story has changed more times than I've changed underpants – as it happened,2017 aug 09
Manus Island asylum seeker death: family want inquest in Australia,2017 aug 09
Coalition warned drug testing of welfare recipients could worsen poverty and crime,2017 aug 09
Energy executives tell Turnbull they aren’t interested in prolonging life of coal plants,2017 aug 09
Is Abbott about to wreck marriage equality? You bet you are. You bet I am,2017 aug 09
Marriage equality postal vote to be challenged in high court by Andrew Wilkie and advocates,2017 aug 09
Australian prime minister rejects Trump's 'fire and fury' response to North Korea threat,2017 aug 09
We are angry and heartbroken at the prospect of a plebiscite campaign. But we are more powerful than ever,2017 aug 09
Cory Bernardi's party calls for pulling out of refugee convention and halving immigration,2017 aug 09
Marriage equality: why an opinion poll may be more accurate than a voluntary postal vote,2017 aug 09
We can't stop the homosexualification of the nation. But we can lash out wildly in fear!,2017 aug 07
Homeless in Melbourne: 'One small act of kindness can change a person’s day',2017 aug 07
"Garma festival 2017 ends with hope, determination and questions",2017 aug 07
Liberal party room sticks with same-sex marriage plebiscite – as it happened,2017 aug 07
Marriage equality: Liberals vote to keep plebiscite with postal vote as backup,2017 aug 07
Labor to oppose Coalition's plan for drug testing of new welfare recipients,2017 aug 07
MPs told cabinet wants further attempt to pass marriage equality plebiscite bill,2017 aug 07
Greens and Hinch raise plan to force foreign-born senators to prove revocation,2017 aug 07
"Suspicion, moral panic, punishment: empathy for homeless people is a choice",2017 aug 07
Liberal MP Trent Zimmerman backs free vote on same-sex marriage – video,2017 aug 07
"Garma festival 2017 brings together song, dance and politics – in pictures",2017 aug 07
Public servants warned against liking anti-government social media posts,2017 aug 07
Australian government set for bruising encounter over marriage equality,2017 aug 07
‘You don’t speak for me’: Christian support for marriage equality is growing,2017 aug 07
"Private health insurance: tactics to lure young people ineffective, Senate told",2017 aug 10
Sky’s no limit in Murdoch empire’s war on ABC,2017 aug 10
Time to get this done: Turnbull's speech on marriage equality (we want to hear),2017 aug 10
Marriage equality postal ballot: here comes a yes campaigner,2017 aug 10
Australia is once again a frightened country. We need to reconstruct our values,2017 aug 10
"Australia faces potentially disastrous consequences of climate change, inquiry told",2017 aug 10
Shorten's impassioned 'yes' plea for marriage equality channels both empathy and outrage,2017 aug 10
UN expert accuses Turnbull government of using 'punitive language' in welfare debate,2017 aug 10
Marriage equality: Shorten holds PM responsible for 'every hurtful bit of filth' - as it happened,2017 aug 10
"Marriage equality postal survey vulnerable to voter fraud, experts warn",2017 aug 10
Divide and rule? Gap grows between Sydney's haves and have-lesses,2017 aug 12
